차량등록번호,가격,차량모델명,차량사양,주행거리
26247492,"1,870만원",현대 쏘나타 (DN8) 2.0 프리미엄,2020년 08월 (21년형),"25,000km"
26197424,"1,200만원",현대 제네시스DH G330 모던,2016년 06월 (16년형),"136,230km"
26393917,"2,160만원",기아 더 뉴 니로 1.6 HEV 프레스티지,2020년 08월 (20년형),"37,348km"
26446042,"4,680만원",현대 디 올 뉴 싼타페 MX5 가솔린 2.5T AWD 캘리그래피,2023년 10월 (24년형),"26,936km"
26354824,"3,550만원",기아 카니발 4세대 D2.2 9인승 노블레스,2023년 02월 (23년형),"31,323km"
26408457,"3,040만원",기아 카니발 4세대 D2.2 9인승 노블레스,2020년 10월 (21년형),"78,835km"
26268484,"4,070만원",기아 카니발 4세대 D2.2 9인승 시그니처,2022년 08월 (23년형),"19,309km"
26228544,"4,350만원",현대 디 올 뉴 그랜저 2.5 가솔린 2WD 캘리그래피,2022년 12월 (23년형),"3,196km"
26404728,"2,340만원",르노코리아 뉴 QM6 2.0 LPe 2WD RE Signature,2021년 12월 (22년형),"10,067km"
26469861,"3,800만원",현대 디 올 뉴 그랜저 하이브리드 1.6 터보 가솔린 프리미엄,2023년 05월 (23년형),"47,905km"
26402395,"1,180만원",현대 싼타페 DM R2.0 4WD PREMIUM,2014년 10월 (15년형),"75,062km"
25975878,"4,800만원",제네시스 G80(RG3) 3.5 T-GDi AWD,2020년 05월 (21년형),"71,000km"
26444307,"3,600만원",현대 디 올 뉴 싼타페 MX5 가솔린 2.5T 2WD 프레스티지,2024년 02월 (24년형),"27,139km"
25888104,980만원,르노코리아 SM6 2.0 GDe RE,2020년 02월 (20년형),"144,453km"
26162896,"1,430만원",현대 쏘나타 뉴 라이즈 2.0 LPi 렌터카 스타일,2019년 01월 (19년형),"26,203km"
26460980,"1,550만원",현대 더 뉴 아반떼 AD Smartstream G1.6 스마트,2019년 11월 (20년형),"12,785km"
26487762,"5,500만원",제네시스 ELECTRIFIED GV70 EV 기본형,2022년 04월 (22년형),"97,360km"
26307972,"1,080만원",현대 LF쏘나타 2.0 스마트 기본형,2015년 12월 (16년형),"95,987km"
26298442,680만원,현대 더 뉴 아반떼 1.6 GDi 스마트 기본형,2015년 01월 (15년형),"77,533km"
26297328,"2,780만원",현대 쏘나타 하이브리드 (DN8) 2.0 하이브리드 모던,2022년 09월 (23년형),"19,380km"
26269316,"3,300만원",현대 더 뉴 싼타페 TM 가솔린 2.5T 2WD 캘리그래피,2022년 08월 (22년형),"33,231km"
26242389,"1,600만원",현대 올 뉴 투싼 가솔린 (Turbo GDi) 1.6T 2WD 모던 피버,2016년 07월 (17년형),"95,135km"
26066460,"1,340만원",현대 싼타페 DM R2.0 2WD EXCLUSIVE 기본형,2014년 11월 (15년형),"75,074km"
26026526,"1,600만원",현대 싼타페 더 프라임 디젤 R2.0 2WD 5인승 프리미엄,2017년 03월 (17년형),"79,828km"
26504651,"1,060만원",현대 포터2 초장축 더블캡 CRDi 하이슈퍼,2016년 07월 (17년형),"127,859km"
26454111,"1,600만원",현대 포터2 일렉트릭 슈퍼캡 초장축 프리미엄 스페셜,2022년 01월 (22년형),"49,380km"
26443515,"1,080만원",현대 싼타페 DM R2.0 2WD PREMIUM 기본형,2013년 09월 (14년형),"114,377km"
26434139,"1,880만원",현대 포터2 초장축 슈퍼캡 CRDi Smart,2022년 04월 (22년형),"20,449km"
26382821,"2,460만원",현대 더 뉴 그랜저 2.5 프리미엄,2020년 08월 (20년형),"76,248km"
26373317,"1,900만원",현대 그랜저IG 2.4 모던 기본형,2019년 06월 (19년형),"37,899km"
26357011,780만원,현대 포터2 초장축 일반캡 CRDi SUP 기본형,2014년 09월 (15년형),"56,585km"
26349141,700만원,현대 LF쏘나타 LPI 렌터카 스마트,2014년 11월 (15년형),"138,411km"
26319062,480만원,현대 YF쏘나타 Y20 프라임블랙,2011년 06월 (11년형),"117,859km"
26313317,"1,940만원",현대 더 뉴 그랜드 스타렉스 웨건 12인승 스마트,2019년 06월 (19년형),"84,683km"
26261728,320만원,한국GM 쉐보레 스파크 LS 스타,2013년 07월 (14년형),"95,893km"
26227593,670만원,한국GM 더 넥스트 스파크 LTZ,2017년 07월 (17년형),"55,235km"
